instance,variant,stateful_reward,stateless_reward,gain,cumulative_gain,gain_delta,gain_sign,negative_gain_flag,gain_drop_flag,drift_flag
1,A,0.18,0.18,0.0,0.0,0.0,zero,False,False,False
2,A,0.22,0.19,0.03,0.03,0.03,positive,False,False,False
3,A,0.28,0.2,0.08000000000000002,0.11000000000000001,0.05000000000000002,positive,False,False,False
4,A,0.35,0.21,0.13999999999999999,0.25,0.05999999999999997,positive,False,False,False
5,B,0.43,0.22,0.21,0.45999999999999996,0.07,positive,False,False,False
6,B,0.48,0.2,0.27999999999999997,0.74,0.06999999999999998,positive,False,False,False
7,B,0.46,0.21,0.25,0.99,-0.02999999999999997,positive,False,False,False
8,B,0.52,0.22,0.30000000000000004,1.29,0.050000000000000044,positive,False,False,False
9,C,0.4,0.23,0.17,1.46,-0.13000000000000003,positive,False,True,False
10,C,0.45,0.22,0.23,1.69,0.06,positive,False,False,False
11,C,0.55,0.24,0.31000000000000005,2.0,0.08000000000000004,positive,False,False,False
12,C,0.6,0.25,0.35,2.35,0.039999999999999925,positive,False,False,False
