instance,variant,stateful_reward,stateless_reward,gain,gain_delta,cumulative_gain,plasticity_state
1,A,0.18,0.18,0.0,0.0,0.0,rigid
2,A,0.22,0.19,0.03,0.03,0.03,adaptive
3,A,0.28,0.2,0.08000000000000002,0.05000000000000002,0.11000000000000001,adaptive
4,A,0.35,0.21,0.13999999999999999,0.05999999999999997,0.25,adaptive
5,B,0.43,0.22,0.21,0.07,0.45999999999999996,adaptive
6,B,0.48,0.2,0.27999999999999997,0.06999999999999998,0.74,adaptive
7,B,0.46,0.21,0.25,-0.02999999999999997,0.99,declining
8,B,0.52,0.22,0.30000000000000004,0.050000000000000044,1.29,adaptive
9,C,0.4,0.23,0.17,-0.13000000000000003,1.46,declining
10,C,0.45,0.22,0.23,0.06,1.69,adaptive
11,C,0.55,0.24,0.31000000000000005,0.08000000000000004,2.0,adaptive
12,C,0.6,0.25,0.35,0.039999999999999925,2.35,adaptive
