instance,variant,stateful_reward,stateless_reward,gain,gain_delta,cumulative_gain,negative_gain_flag,large_gain_drop_flag,boundary_flag,prior_gain,decline_after_high_gain_flag,low_recovery_flag,stale_risk_score,stale_risk_level
1,A,0.18,0.18,0.0,0.0,0.0,False,False,True,0.0,False,False,0.5,low
2,A,0.22,0.19,0.03,0.03,0.03,False,False,False,0.0,False,False,0.0,none
3,A,0.28,0.2,0.08000000000000002,0.05000000000000002,0.11000000000000001,False,False,False,0.03,False,False,0.0,none
4,A,0.35,0.21,0.13999999999999999,0.05999999999999997,0.25,False,False,False,0.08000000000000002,False,False,0.0,none
5,B,0.43,0.22,0.21,0.07,0.45999999999999996,False,False,True,0.13999999999999999,False,False,0.5,low
6,B,0.48,0.2,0.27999999999999997,0.06999999999999998,0.74,False,False,False,0.21,False,False,0.0,none
7,B,0.46,0.21,0.25,-0.02999999999999997,0.99,False,False,False,0.27999999999999997,False,False,0.0,none
8,B,0.52,0.22,0.30000000000000004,0.050000000000000044,1.29,False,False,False,0.25,False,False,0.0,none
9,C,0.4,0.23,0.17,-0.13000000000000003,1.46,False,True,True,0.30000000000000004,True,False,2.5,high
10,C,0.45,0.22,0.23,0.06,1.69,False,False,False,0.17,False,False,0.0,none
11,C,0.55,0.24,0.31000000000000005,0.08000000000000004,2.0,False,False,False,0.23,False,False,0.0,none
12,C,0.6,0.25,0.35,0.039999999999999925,2.35,False,False,False,0.31000000000000005,False,False,0.0,none
